K	L	M
16.8	28.8	27.12
24.22	29.57	15.33
23.88	17.87	26.98
14.99	27.1	29.57
39.76	18.8	18.58
19.15	11.57	10.74
20.05	18.6	21.81
18.22	35.73	22.19
18.27	16.46	19.82
23.31	6.62	26.39
16.92	17.91	20.61
13.81	23.04	21.9
15.48	24.66	13.32
18.56	20.32	22.64
27.28	11.18	25.11
13.56	25.21	18.82
25.24	21.2	29.17
19.16	33.59	25.13
20	27.93	27.33
24.2	12.6	23.85
16.65	25.49	17.82
20.15	17.68	28.61
18.99	14.41	18.98
17.74	19.77	20.33
29.04	29.41	17.72
17.14	32.79	23.41
33.37	22.91	25.37
18.76	23.3	30.48
16.96	20	25.58
33.87	23.35	16.13
20.36	17.11	22.82
23.13	26.41	26.72
18.05	17.02	22.01
14.01	24.55	28.18
34.25	25.77	23.82
39.7	24.52	19.36
29.09	15.41	21.64
13.14	29.01	17.19
18.95	24.73	30.7
18.92	16.24	21.44
16.75	20.07	18.4
17.12	26.68	19.08
20.55	22.77	30.12
21.01	28.91	22.34
21.61	25.11	16.55
27.38	21.4	17.27
16.52	20.65	18.18
14.23	27	15.38
18.61	18.76	28.78
19.25	22.27	20.27
22.42	26.24	19.44
17.36	20.14	25.72
26.37	19.12	8.83
22.36	17.73	26.58
41.68	29.24	21.86
25.34	19.26	20.3
23.19	29.72	23.8
15.97	23.79	17.44
14.23	25.34	13.51
24.19	13.73	25.6
17.64	13.3	28.27
21.39	23.59	25.8
16.18	20.11	27.26
26.9	22.57	15.2
35.74	8.6	20.21
18.19	13.32	33.5
22.21	17.1	28.95
19.93	7.81	32.08
19.82	26.57	17.8
30.19	32.6	12.23
16.58	19.59	25.38
27.62	21.85	22.23
21.38	32.83	20.93
40.28	29.97	20.47
17.73	14.07	28.77
23.52	19.5	13.21
31.65	26.19	24.65
21.55	14.59	23.99
15.65	16.49	21.12
23.08	14.97	13.85
35.55	16.65	30.22
22.4	20.69	36.44
36.17	14.55	32.66
19.36	21.75	16.74
18.15	25.61	21.68
14.88	26.66	19.52
14.55	18.59	17.11
26.19	22.18	20.73
21.07	25.78	16.16
17.8	32.59	30.08
13.21	15.87	24.78
24.64	26.02	25.95
25.34	12.5	26.93
17.05	23.22	17.53
34.71	23.57	31.86
18.17	20.28	12.91
18.59	17.51	21.59
18.6	22.18	37.12
23.4	21.17	19.71
15.94	28.09	20.36
23.53	29.84	24.22
21.4	19.94	22.23
17.07	17.82	28.12
21.72	16.31	30.44
26.77	21.15	22.71
36.22	24.28	19.41
18.62	20.37	35.61
25.53	17.62	17.1
18.14	24.68	25.77
18.71	20.06	20.14
20.35	10.09	22.78
30.03	23.71	30.8
28.41	22.41	19.46
15.23	12.69	23.37
20.61	21.84	16.8
18.56	25.75	20.77
23.04	21.29	17.49
25.09	33.5	16.13
15.07	16.58	24.79
16.96	8.83	27.22
28.16	14.45	37.06
20.42	21.11	22.67
21.86	26.4	27.8
32	25.76	14.91
14.37	19.37	22.11
16.94	12.18	34.1
36.9	18.74	13.19
17.08	21.53	16.07
21.23	26.2	21.35
23.65	13.55	22.78
21.46	28.09	10.51
18.46	11.14	20.7
15.9	27.01	16.74
27.34	21.58	19.21
25.46	18.84	21.29
16.06	22.09	26.34
16.83	22.82	29.15
17.36	26.5	24
27.32	17.89	23.68
32.77	32.94	37.08
14.54	22.26	18.09
19.58	22.17	24.63
19.71	32.63	20.27
26.71	17.36	19.23
16.61	16.84	30.74
18.29	13.65	13.71
20.98	16.75	17.65
23.95	24.6	18.47
30.41	17.33	18.66
22.74	22.76	24.5
31.3	21.86	17.49
15.69	18.44	20.51
33.35	23.28	16.66
19.29	19.65	22.69
34.63	18.49	29.72
13.39	14.15	19.71
24.32	27.57	17.58
22.53	17.71	31.88
25.03	26.61	13.52
15.99	17.16	27.86
17.41	26.7	20.4
17.06	27.2	13.33
21.55	13.47	28.72
34.52	17.9	17.02
20.8	23.34	25.5
19.45	23.1	25.53
24.32	24.01	24.89
22.27	29.41	18.32
32.27	21.57	8.44
21.21	21.69	22.97
19.89	19.68	22.36
27.59	25.87	20.2
16.91	17.88	31.83
24.01	9.74	9.29
18.86	30.61	20.12
18.68	28.51	20.94
15.2	28.65	21.1
22.7	29.98	15.38
19.02	27.37	17.73
13.8	23.36	20.51
22.98	13.71	25.88
19.48	16.85	37.44
19.5	14.13	29.9
17.86	22.22	24.57
17.3	30.2	23.47
29.09	21.44	23.54
15.92	33.44	25.97
32.31	18.07	27.03
22.18	22.02	22.48
14.04	26.95	21.55
31.12	17.88	25.68
21.94	25.59	33.15
18.15	23.8	23.4
14.89	24.75	14.66
26.8	19.97	30.03
34.63	11.3	22.92
31.08	27.6	29.48
31.26	18.8	19.2
21.45	26.05	18.09
18.02	22.52	27.24
28.58	36.77	21.42
19.42	13.38	18.09
22.31	17.57	29.16
28.34	17.9	20.57
18.28	24.71	19.07
29.79	20.32	19.36
18.1	17.69	29.73
30.68	21.04	14.39
21.93	28.37	31.31
18.19	23.69	20.26
18.52	19.48	20.6
27.64	21.32	21.45
13.63	19.31	26.77
25.68	25.24	19.21
23.07	20.81	20.21
25.71	21.75	12.05
22.06	11.89	27.12
18.96	17.98	26.68
24.25	15.87	26.03
23.92	28.69	20.63
24.82	16.6	8.24
24.12	25.96	22.49
19.12	28.21	24.98
24.35	22.78	3.65
16.02	20.68	22.45
41.08	14.32	28.06
13.63	22.62	20.82
14.34	23.76	29.94
23.61	18.28	20.65
27.1	15.58	21.58
25.9	20.49	19.32
15.19	26.17	20.95
23.92	20.9	19.49
17.57	16.3	16.51
20.37	25.8	10.71
23.75	18.65	12.39
37.84	19.88	24.75
18.91	16.5	24.1
28.46	20.71	11.91
24.17	29.52	32.09
21.31	25.99	24.12
22.54	13.85	25.32
21.27	31.15	23.61
21.03	23.77	26.49
19.01	24.83	32.2
16.78	23.89	12.74
16.45	15.67	22.93
26.55	27.39	8.94
14.19	26.68	22.54
19.67	22.64	23.52
28.44	12.85	22.11
15.2	24.77	19.7
24.91	11.47	20.73
22.53	24.87	19.79
22.82	25.96	12.99
16.93	21.87	23.93
24	36.47	25.94
20.58	17.93	26.1
19.16	9.46	30.12
19.26	18.97	22.11
20.1	13.95	16.46
18.06	20.21	19.89
20.88	24.34	18.99
25.07	33.5	19.57
14.36	22.31	21.04
17.05	24.99	21.02
18.88	23.75	6.03
32.74	21.39	18.59
14.98	24.99	21.3
33.83	18.81	22.34
25.05	16.35	21.8
19.99	19.09	23.46
18.86	20.4	22.8
25.12	22.16	20.92
24.12	22.14	24.11
24.1	17.45	27.25
15.62	17.45	19.05
24.61	30.62	15.01
25.21	14.55	27.66
18.41	31.53	28.82
24.61	23.06	22.8
21.23	21.76	29.39
24.92	26.14	18.53
17.13	22.27	20.4
17.59	18.4	19.55
16.67	7.93	15.75
18.69	24.97	15.64
39.74	18.23	20.38
30.55	31.37	26.46
39.12	20.95	21.03
21.59	12.48	15.31
15.68	28.42	24.2
21.6	25.11	32.61
20.44	24.49	16.77
17.8	16.22	13.44
24.92	17.24	10.65
15.08	19.48	18.37
19.45	16.12	16.08
21.93	11.61	27.97
22.43	20.73	21.28
20.17	22.48	21.66
18.68	21.44	27.07
22.84	19.51	28.92
17.76	30.53	24.99
15.27	6.75	24.17
19.91	20.49	30.37
19.43	18.77	29
21.21	25.07	17.38
23.97	20.09	15.67
19.36	34.95	18.37
20	28.34	30.29
20.85	32.04	13.83
14.66	13.33	21.4
22.36	26.59	17.33
23.86	19.13	31.04
24.83	13.99	23.23
18.59	14.69	18.89
22.41	29.78	22.91
14.3	18.23	17.76
20.83	19.83	28.54
21.01	16.92	20.62
27.58	26.71	22.96
34.07	27.89	26.26
18.31	25.3	14.05
27.39	28.66	17.06
25.02	20.3	16.68
13.75	12.6	20.63
23.33	29.13	20.69
21.39	15.36	9.38
27.18	20.57	24.97
21.95	23.12	27.31
34.28	21.45	20.93
19.34	13.4	29.21
13.95	22.08	27.28
23.46	23.36	14.69
24.53	27.39	32.56
18.37	20	28.96
19.57	22.86	17.33
33.62	15.49	28.05
20.77	18.95	21.43
36.12	12.54	15.52
21.3	22.69	13.21
19.07	29.26	7.9
15.85	14.2	26.72
25.2	23.26	20.36
24.3	10.85	18.12
14.71	19.69	29.25
20.39	25.6	23.01
43.96	11.16	25.92
46.83	20.23	23.81
16.94	16.16	26.98
24.35	23.85	20.13
20.18	15.68	27.53
36.99	26.08	20.05
24.14	24.79	22.27
18.61	28.13	19.02
20.9	11.04	24.58
33.25	16.34	13.17
14.21	24.2	26.66
13.61	21.89	19.89
25.84	16.42	30.76
17.54	22.19	22.02
13.88	24.2	30.16
25.81	14.53	16.59
21.68	20.09	16.58
17.6	26.49	14.31
39.92	23.39	26.73
19.35	13.88	32.44
29.41	22.21	23.92
19.47	26.82	20.77
21.66	36.34	19.09
26.71	25.43	30.46
20.69	27.85	19.35
37.93	14.57	10.47
37.79	21.41	29.16
20.09	10.29	33.09
30.41	12.71	25.95
28.96	10.23	6.26
37.44	12.9	28.12
23.75	22.7	20.48
37.33	18.57	18.68
31.01	14.25	15.99
19.88	24.64	14.59
22.87	19.23	23.01
24.78	20.01	27.96
19.67	23.55	22.66
17.03	20.81	19.4
20.62	30.41	22.53
22.32	23.47	17.96
34.49	18.54	32.15
17.95	23.56	29
25.69	24.32	26.85
26.02	28.2	19.38
24.68	23.02	11.35
18.07	23.03	6.63
22.3	20.63	22.42
14.25	24.42	18.17
27.17	23.87	33.02
20.54	31.22	17.78
14.45	25.48	12.43
25	25.71	21.8
21.48	20.56	25.89
23.41	21.29	20.66
19.39	28.71	20.75
14.51	18.65	20.67
28.63	20.49	20.96
25.84	20.13	18.84
18.6	29.1	25.03
17.79	14.9	18.36
22.85	20.4	23.82
22.44	20.98	17.43
24.82	18.49	25.64
19.4	14.45	32.1
19.5	15.47	18.49
26.75	25.32	19.43
17.75	19.48	18.71
26.08	23.91	19.46
21.47	12.57	24.68
22.26	27.53	23.43
26.26	4.36	30.28
21.53	37.62	21.13
15.77	26.21	33.5
15.5	27.3	23.44
18.8	21.84	31.18
26.9	19.05	23.63
29.74	25.54	3.87
27.86	25.68	15.25
17.86	18.54	12.34
21.59	23.68	23.88
17.14	34.54	16.69
18.24	15.87	26.31
15.01	23.35	21.76
21.82	17.11	24.65
20.45	25.44	17.67
19.29	27.98	19.57
16.08	19.6	20.65
28.83	18.37	14.79
29.06	13.73	27.39
20.55	24.33	10.77
16.49	27.2	24.92
20.14	19.8	22.26
17.56	28.78	22.99
18.33	13.32	24.38
16.06	22.78	28.19
13.54	34.18	24.79
29.14	19.07	15.94
14.05	24.61	16.34
20.13	18.36	23.21
16.36	34.49	26.69
18.17	19.71	19.64
15.02	30.05	18.28
16.7	19.71	14.91
23.86	24.78	20.38
27.26	14.2	23.01
20.98	20.93	16.5
22.14	24.14	18.95
24.47	13.97	25.38
29.71	11.93	26.96
26.45	21.92	17.9
18.05	25.3	17.48
28.14	20.94	15.34
14.33	20.41	21.59
21.32	19.93	19.45
21.17	15.52	26.51
31.59	24.35	20.1
34.41	20.21	6.98
28.8	24.67	14.12
15.62	24.54	36.83
19.25	21.46	11.39
15.5	4.95	20.05
25.91	23.9	16.4
33.18	19.31	20.79
21.3	26.02	23.07
16.19	33.25	18.89
18.68	17.27	30.08
19.74	23.86	19.96
22.86	26.7	19.61
17.91	8.97	34.83
29.88	16.51	23.14
19.85	25.5	24.89
27.92	36.54	16.95
20.29	27.02	17.07
29.52	23.53	24.31
25.5	20.81	18.59
23.23	17.5	26.23
16.27	19.79	19.32
22.07	9.97	24.93
17.51	19.16	32.64
18.66	13.98	14.33
22.95	18.46	22.09
30.68	34.12	25.53
22.37	29.06	11.72
21.54	21.29	27.75
14.06	14.26	8.63
21.55	14.77	18.46
15.01	24.4	13.29
16.17	32.9	21.79
21.58	22.64	17.51
20.56	25.91	8.82
19.98	16.56	26.05
19.5	18.28	19.12
31.79	28.57	13.71
25.2	24.18	15.96
20.03	20.31	31.66
22.42	8.76	17.82
32.31	32.49	13.27
33.53	28.61	25.71
13.35	26.01	22.48
13.47	24.14	14.98
14.54	22.58	20.3
14.98	19.84	23.11
25.56	27.36	15.45
19.98	16.3	24.23
30.61	28.01	12.35
16.14	15.78	14.32
15.64	28.29	24.01
24.13	31.88	23.09
16.47	21.34	32.06
22.46	19.39	23.37
21.19	17.17	19.94
19.37	22.51	12.87
17.33	23.27	27.96
22.44	33.68	25.49
19.42	29.7	14.95
21.65	28.92	18.83
23.12	18.38	23.47
24.72	23.53	25.2
16.47	22.79	18.98
19.29	12.98	17.54
15.38	15.87	19.46
28.28	23.93	23.67
46.56	11.47	21.39
22.47	14.59	20.13
21.38	22.3	17.41
17.49	32.29	29.18
17.6	25.57	12.47
18.81	17.67	15.6
23.65	20.01	17.18
19.46	22.62	30.63
21.88	25.74	17.71
20.95	18.1	28.05
29.09	14.21	22.01
24.07	17.35	16.18
21.62	15.8	15.4
22.4	19.7	31.38
21.36	20.3	19.87
24.87	28.13	18
31.61	14.63	20.85
26.25	16.69	27.88
19.57	31.5	35.55
21.41	17.12	29.3
35.72	14.2	28.6
26.47	14	21.4
15.08	14.87	28.82
21.1	23.54	20.93
16.94	30.96	18.02
22	12.8	25.56
17.82	27.92	22.41
13.47	16.48	8.96
14.85	26.02	29.23
36.89	23.95	26.36
18.44	22.31	26.03
25.89	25.21	23.51
31.52	18.81	32.8
18.42	13.95	28.8
25.19	39.63	26.15
22.73	25.76	16.17
26.15	14.71	16.81
18.12	12.32	28.29
26.18	28.01	22.8
16.35	21.54	37.36
19.33	22.47	25.31
18	13.72	12.88
19.57	26.3	13.73
15.96	25.66	19.01
23.55	21.92	27.53
23.98	25.06	29.02
25.65	27.35	27.17
23.65	24.9	26.77
20.36	15.55	22.3
21.19	16.41	13.26
29.05	24.91	27
22.3	20.02	15.88
20.38	13.34	19.36
29.77	19.26	15.16
25.99	20.21	28.16
17.02	24.46	16.18
27.06	20.03	24.63
22.57	27.53	29.95
34.62	23.7	15.47
30.79	26.82	18.44
14.48	24.38	21.52
26.94	27.19	17.85
20.58	20.25	12.61
21.06	29.33	20.87
22.47	18.57	23.04
16.19	31.93	32.97
27.42	20.64	15.7
15.66	22.65	15.52
13.34	8.09	20.79
34.77	29.91	20.23
15.23	33.71	20.48
16.36	18.29	19.33
25.39	16.76	28.22
42	8.11	20.03
20.67	20.97	13.4
29.75	33.75	24.9
17.32	30.81	19.74
15.92	22.82	26.04
35.16	21.02	22.41
28.68	26.91	22.9
25.01	19.39	26.46
27.98	21.98	26.8
19.6	15.95	25.51
16.61	22.48	32.23
18.38	22.93	34.09
18.87	21.98	13.43
21.31	28.97	15.45
13.7	25.23	20.99
17.51	22.44	21.08
15.01	31.2	19.96
34.23	37.77	19.15
21.12	29.2	26.99
17.42	22.95	29.84
22.57	16.74	27.14
18.46	20.14	22.87
13.28	22.43	20.42
26.04	26.25	20.71
19.88	19.56	16.48
20.27	19.31	12.63
20.05	15.01	22.51
15.57	24.84	26.69
15.66	23.79	25.38
26.99	14.25	27.25
14.18	16.47	21.48
19.99	20.53	19.27
23.65	22.66	17.82
31.84	26.41	17.37
29.46	24.61	21.9
28.2	20.8	17.27
13.63	17.71	22.02
18.84	23.41	19.1
21.76	20.29	15.25
26.7	25.21	13.91
19.69	20.46	26.62
15.33	28.86	26.72
15.57	21.92	29.13
23.06	19.46	22.71
20.55	22.82	9.22
17.85	23.74	18.82
15.33	22.64	15.88
17.35	23.83	14.95
18.6	19.41	26.03
14.6	29.32	16.44
22.23	16.38	6.14
18.02	26.27	17.21
16.43	26.5	22.74
21.55	26.07	24.23
22.64	22.75	21.84
20.59	20.65	22.18
22	14.62	21.84
22.29	22.31	19.27
19.18	24.56	26.6
21.04	17.33	27.78
28.35	19.54	20.91
15.11	19.5	29.73
15.71	15.47	19.17
20.9	15.15	24.81
26.03	26.87	21.47
20.43	9.55	19.55
15.77	25.32	26.87
18.89	27.12	25.83
20.25	17.69	20.02
16.4	20.33	23.34
14.6	21.19	27.12
19.98	17.1	21.18
20.88	13	14.33
16.5	20.87	28.49
21.7	16.78	12.49
23.83	14.99	25.52
18.63	15.56	14.85
22.35	14.84	20
23.16	17.93	17.88
24.15	22.44	33.17
20.42	13.36	15.5
17.4	18.06	18.57
21.75	14.7	13.18
27.15	26	15.97
17.04	8.11	16.56
17.95	25.6	15.6
17.76	29.46	21.7
16.68	14.41	27.46
31.27	7.81	27.1
22.54	19.91	26.56
29.61	16.32	16.23
18.04	17.84	24.66
15.4	23.93	23.45
24.35	20.41	23.73
27.68	21.22	13.48
27.37	24.29	27.29
21.6	33.49	22.04
15.7	22.77	18.23
25.87	23.44	14.16
19.52	28.65	21.43
25.08	31.06	23.97
27.97	20.83	28.45
17.34	22.17	26.23
32.04	29.69	4.67
15.79	16	32.37
28.82	21.06	23.63
41.47	15.57	18.47
17.39	25.49	25.89
23.65	24.59	25.24
37.98	20.45	11.38
28.3	10.68	24.33
22.96	23.63	25.32
16.8	16.87	25.74
18.86	20.31	12.42
27.06	25.77	19.78
16.67	27.42	24.74
17.47	27.88	19.37
20.72	17.06	23.44
19.8	24.57	22.86
52.33	18.28	21.14
22.01	12.36	15.01
19.35	21.24	23.69
15.37	13.8	16.61
24.83	16.73	25.29
23.58	17.92	21.41
20.99	21.15	27.17
18.45	31.31	19.92
16.76	26.23	20.84
19.03	25.4	22.08
23.32	17.23	38.08
46.59	23.51	39.95
32.62	26.51	33.8
18.27	21.99	18.43
16.88	22.24	16.32
22.26	29.97	16.99
24.45	19.36	12.36
20.45	23.37	17.55
21.97	31.65	24.08
25.03	25.47	24.42
15.68	25.43	18.04
20.27	30.84	29.62
15.97	24.37	34.15
20.85	28.16	16.22
15.58	20.27	27.4
15.96	19.3	11.2
19.2	28.07	25.3
17.7	32.01	19.31
18.34	18.28	27.82
23.33	12.91	26.33
24.3	35.14	27.35
15.86	26.07	14.78
18.73	26.6	24.36
18.77	22.85	21.74
13.96	23.66	25.46
23.35	23.17	22.41
18.43	26.18	23.7
23.79	31.06	29.8
21.94	14.32	24.77
29.12	27.21	17.09
22.03	21.7	20.81
13.86	22.18	20.78
18.11	20.33	29.82
19.18	22.67	22.02
17.62	30.09	25.21
35.18	13.38	21.17
23.53	14.68	15.43
16.79	21.18	31.33
14.88	17.81	21.66
29.1	20.23	29.81
16.69	10.86	26.21
14.52	18.22	21.6
18.38	24.82	17.43
31.82	27.46	13.14
27.09	26.54	26.23
21.35	38.19	20.67
24.58	26.98	13.66
18.36	19.51	11.99
24.59	27.55	11.25
32.11	25.22	17.57
23.91	17.32	24.72
17.4	15.02	16.73
20.87	27.89	10.95
23.21	13.52	21.54
14.94	13.61	21.68
18.34	29.35	14.53
17.73	31.39	26.37
20.93	15.55	23.76
41.16	32.25	17.81
21.4	3.5	24.63
21.84	24.33	13.8
33.58	27.47	19.02
16.74	31.07	19.57
16.87	21.37	29.38
17.25	22.71	24.77
26.51	15.77	20.72
17.83	17.46	23.68
22.68	17.38	30.02
22.01	36.43	15.9
24.81	27.24	23.57
26.37	25.7	23.59
20.14	16.07	23.65
37.32	20.29	22.81
22.4	17.49	8.12
27.93	23.87	11.3
15.43	20.83	17.82
15.72	23.62	20.2
18.7	29.36	16.84
19.43	26.94	21.06
20.19	15.64	16.32
14.51	21.06	22.07
16.83	19.26	18.39
13.61	22.38	15.81
14.98	17.72	22.65
15.93	12.04	22.74
19.29	18.29	15.15
20.47	18.6	13.68
13.79	21	13.56
22.64	25.66	24.87
21.38	17.11	21.67
23.61	26.02	18.21
22.88	20.82	28.36
18.11	17.19	12.58
13.93	28.71	26.02
18.57	27	9.03
21.7	10.75	22.05
22.59	33.03	19.18
22.05	32.31	10.5
22.1	27.72	27.7
13.43	18.78	26.99
14.84	30.38	16.85
27.75	27.25	13.2
17.08	37.01	18.81
26.79	20.84	25.44
15.51	27.06	26.32
29.54	35.7	16.76
18.31	23.19	25.39
21.98	23.54	23.64
16.42	20.29	18.18
30.83	19.98	13.34
21.05	18.38	24.34
18.08	21.08	19.61
21.38	23.16	12.97
26.65	15.1	23.42
29.82	33.45	31.94
14.72	16.69	24.88
19.84	23.79	13.44
19.65	33.36	23.32
19.11	25.85	26.03
21.68	28.21	29.86
15.24	15.85	18.95
13.98	13.03	22.6
28.41	21.23	24.27
17.79	21.42	14.27
27.4	30.07	25.14
15.8	32.88	28.75
25.02	24.13	19.45
20.58	16.32	20.21
15.54	25.86	21.28
31.91	22.19	21.29
22.18	10.99	21.37
24.79	15.89	12.47
23.05	17.39	24.54
22.48	11.37	18.7
24.63	27.73	23.74
16.88	24.59	26
21.93	20.05	23.83
16.71	25.54	26.32
16.31	8.45	21.31
20.55	22.92	24.79
26.01	25.82	20.39
14.94	16.6	16.1
22.03	17.07	16.33
32.58	25.03	24.15
15.44	16.17	11.25
28.14	9.13	28.49
17.7	21.95	33.05
24.04	16.96	15.31
24.88	27.15	5.22
22.95	14.12	28.19
20.33	20.47	9.66
19.06	22.61	36.52
14.38	22.28	21.78
28.23	24.18	24.95
27.27	31.9	22.56
13.76	21.07	20.17
18.28	24.86	27.84
16.01	24.46	12.06
22.77	26.4	23.3
17.94	27.2	27.46
33.86	19.9	25.95
22.92	26.01	6.33
13.97	24.89	30.2
24.67	34.43	28.33
15.29	20.03	20.48
27.9	32.41	26.59
29.04	9.97	17.1
14.87	20.28	8.15
17.07	17.8	20.49
16.92	26.1	24.22
15.9	23.33	26.07
14.53	23.96	15.46
24.38	23.78	23.98
22.11	21.76	18.96
31.17	28.69	21.96
23.5	12.05	19.71
27.87	28.77	19.39
16.66	9.49	15.59
21.7	22.11	32.85
36.53	16.78	25.6
20.28	24.91	22.74
14.83	19.78	15.98
15.5	18.27	20.66
33.89	17.88	23.89
16.38	22.07	12.93
20.5	20.8	28.08
18.5	27.68	19.03
17.47	26.91	6.74
24.46	14.11	9.64
22.48	14.99	26.2
18.43	12.61	32.17
19.09	18.28	22.88
30.43	11.89	23.96
29.85	33.99	19.54
22.87	30.06	20.54
35.1	17.15	22.15
29.37	14.82	13.7
27.09	26.22	21.65
26.75	17.48	11.02
21.65	22.8	11.02
21.1	29.71	31.23
21.7	25.33	26.28
15.05	17.91	27.55
17.74	24.89	18.68
32.31	18.03	25.82
20.43	18.88	20.84
22.94	21.34	20.33
17.86	23.94	29.05
37.32	12.42	21.05
14.07	12.68	19
15.46	19.67	23.68
24.18	12.34	15.96
26.86	35.62	19.75
20.32	32.24	32.55
19.17	16.75	13.28
24.8	22.57	20.23
14.94	26.17	17.8
30.24	18.08	18.27
16.52	16.77	27.34
26.98	16.34	27.49
22.98	20.79	24.23
15.38	16.48	19.54
21.62	34.51	14.74
26.9	20.44	26.33
40.99	19.89	22.04
14.69	21.94	19.26
19.05	25.36	23.68
15.12	26.55	21.05
17.63	14.52	27.51
15.47	20.68	9.96
24.41	22.72	23.37
32.91	20.15	18.78
29.51	7.74	24.46
26.76	18.56	20.45
29.47	27.29	28.59
18.47	11.9	24.51
33.64	16.34	24.91
26.19	25.13	24.86
14.83	20.25	20.09
22.85	22.78	17.16
15.24	15.96	23.85
16.02	14.36	22.47
13.67	27.45	17.01
20.02	31.16	15.96
19.67	24.54	16.54
25.84	18.74	19.39
31.06	32.04	21.15
24.71	23.05	17.63
21.36	19.1	23.96
16.97	18.98	13.31
21.39	24.29	23.14
24.31	16.37	29.68
19.5	22.39	14.56
14.81	17.59	17.61
31.42	19.33	33.06
33.74	31.96	29.18
35.16	23.71	13.76
23.8	28.46	18.16
17.56	28.19	17.38
22.06	17.29	36.55
31.85	27.43	20.46
16.79	27.67	22.53
21.57	29.88	37.71
17.8	31.21	30.52
20.59	27.78	17.15
21.07	20.67	20.9
33.38	23.53	20.9
25.71	8.02	30.25
18.62	23.27	25.85
21.55	25.55	10.74
23.48	16.82	29.41
20.38	16.54	24.6
18.12	25.56	21.57
29.17	13.63	22.56
30.34	25.89	23.41
17.92	35.3	17.29
16.7	29.44	23.11
30.6	24.38	17.53
22.91	27.84	25.89
28.76	26.15	26.27
37.15	13.27	19.85
14.59	19.83	29.36
21.5	23.84	25.88
16.22	16.7	24.38
21.41	21.58	18.64
18	8.69	23.08
21.45	15.29	14.17
18.1	22.36	8.04
14.53	25.64	14.15
20.47	11.99	24.21
19.49	20.79	32.02
16.58	19.76	34.79
32.53	12.9	27.24
20.32	16.73	21.03
28.43	29.62	13.43
23.82	22.5	26.9
28.94	32.66	11.58
27.78	27.74	31.92
22.79	27.17	31.72
20.75	18.16	15.83
20.6	13.72	20.43
33.99	25	15.38
17.68	19.23	15.4
20.46	21.87	17.19
13.55	15.13	24.77
28.36	24.11	26.47
19.4	23.96	23.32
29.46	18.64	25.37
16.67	32.3	17.27
13.53	33.22	26.26
22.76	31.53	21.7
14.68	27.91	15.4
15.08	16.94	23.71
30.32	17.53	16.5
22.07	19.16	28.65
13.49	24.43	26.13
26.44	32.76	30.06
14.19	16.62	12.37
18.94	29.53	21.7
22.36	28.25	18.85
23.44	22.27	15.12
16.72	18.03	14.51
20.64	26.15	22.69
16.04	24.94	15.77
20.92	20.39	22.19
25.58	10.6	24.41
19.2	35.74	25.55
20.38	28.33	20.96
17.01	27.06	20.37
18.76	30.18	12.68
29.3	21.06	14.7
18.36	19.41	19.13
20.13	13.49	18.68
23.72	28.17	16.84
17.05	21.14	16.36
14.67	20.14	20.8
24.23	25.27	13.52
25.61	16.27	17.46
20.63	29.15	20.86
22.64	24.01	24.97
29.78	27.33	20
23.3	15.16	13.59
20.08	26.77	28.88
23.21	20.69	14.19
21.63	29.62	19.49
17.46	26.3	27.04
19.99	10.68	14.18
23.48	13.2	26.91
26.28	22.97	25.51
25.58	9.43	27.87
19.24	23.26	7.76
16.17	10.41	17.19
25.38	23.05	23.57
32.17	15.38	20.88
35.46	23.04	19.43
18.35	15.13	19.6
31.35	19.34	17.52
27.77	11.1	23.37
27.94	28.73	25.48
17.86	19.4	19.19
15.67	15.1	26.09
23.2	25.93	22.36
15.57	28.87	15.31
22.74	26.27	25.87
19.58	21.61	31.61
19.53	16.72	28.49
15.98	18.38	17.64
23.68	10.93	22.49
26.2	18.72	15.82
24.79	20.28	27.83
31.08	26.34	17.5
15.56	25.31	24.94
20.3	17.34	15.8
33.55	30.28	14.25
31.72	18.41	8.52
19.18	23.4	29.84
18.82	26.6	36.72
20.98	24.31	11.05
16.33	26.25	29.49
16.45	25.15	21.66
18.06	22.75	23.66
24.5	11.1	22.22
23.45	30.24	29.75
36.37	25.26	23.02
18.25	26.86	15.5
20.91	25.42	24.86
23.88	26.41	22.38
17.31	23.25	21.79
17.06	27.22	15.35
15.33	19.2	23.51
22.62	19.33	22.71
23.02	17.85	15.05
26.18	13.63	16.38
16.15	12.1	18.96
17.76	21.36	20.23
20.55	23.89	14.85
24.89	15.44	21.21
38.85	17.12	16.13
29.3	35.1	16.34
25.73	16.84	29.29
15.96	22.94	26.33
33.79	17.9	30.83
17.99	11.82	26.14
26.04	14.16	20.17
16.01	22.84	13.8
17.89	28.67	25.22
15.06	15.57	19.38
26.25	16.96	24.74
26.5	12.57	17.82
24.08	15.43	30.16
18.62	13.01	28.98
18.77	27.95	22.48
24.47	27.6	22.69
17.01	35.24	28.85
22.33	18.39	29.52
23.58	23.46	26.24
26.84	17.43	17.16
28.94	23.63	15.03
23.9	19.65	18.15
14.5	24.3	21.52
20.3	13.83	28.83
16.11	32.41	24.8
17.08	15.51	21.32
20.3	28.15	16.05
30.22	19.39	24.72
23.72	24.4	17.7
20.87	25	24.92
21.68	18.43	21.51
17.31	33.38	28.06
20.36	19.22	25.23
28.74	23.8	15.73
16.95	27.41	31.04
21.97	22.24	23.55
14.88	18.9	16.91
19.37	11.77	9.56
22.89	13.07	16.59
27.66	19.91	19.25
15.91	15.03	26.84
